lemma,grammar_gloss,meaning_en,meaning_pl
enjewtęci,(m),inhabitant,mieszkaniec
enkadzier,"(v, 7)","fall in, drop in",wpadać
enkawlar,"(v, 2)",lock up,"zamykać, pozamykać"
enkętar,"(v, 1)",enchant,zaczarować
enkłudzier,"(v, 7)",enclose,ogrodzić
enkrzymnar,"(v, 1)",accuse,obwiniać
enłasar,"(v, 1)",let in,wpuszczać
enłokar sie,"(v, 1)",fit,mieścić się
enmiedz,(prep +2),"among, amidst",wśród
enmiedzały,(adj),mediocre,"średni, średniej jakości"
enrur,(v. irr.),drive in,wjechać
enskrzypceń,(f),inscription,inskrypcja
enszarmar,"(v, 1)","enthral, fascinate",zauroczyć
enszarmęca,(f),fascination,zauroczenie
enszedziar (perf. ensiódszy),"(v, 4)","board, get into a vehicle",wsiadać
enszerzer,"(v, 7)",switch on,włączać
enszynia,(f),sign,znak
enszyniar,"(v, 2)",mark,oznaczać
enśpiecy,(adj),"fixed, concentrated (on)",zapatrzony (w)
enśpieczer,"(v, 7)","look into, inspect","zaglądać, inspektować"
entrar,"(v, 1)",enter; pull in,wchodzić; wciągać
entrzerzy,(adj),interior,"krajowy, wewnętrzny"
entutu,(adv),"absolutely, completely, ... at all",wcale
enwitaceń,(f),invitation,zaproszenie
enwitar,"(v, 1)",invite,zapraszać
enwłomabły,(adj),inflammable,"zapalny, zapalczywy"
enwłyjęca,(f),influence,wpływ
enwołytar,"(v, 1)",wrap in,"owijać, wpakować"
enwrzenier,"(v, 5)",curb,okiełzać
epicy,(adj),epical,epiczny
era,(f),"era, age",era
Erdeka (R.D.K.),(f),R.T.C.,R.D.K.
erdekany,(adj),from the R.T.C.,"erdekański, z R.D.K."
ereb,(n),plutonium,pluton
erotycy,(adj),erotic,erotyczny
erotyka,(f),erotics,erotyka
estońki,(adj),Estonian,estoński
etaż,(n),floor,piętro
etymologia,(f),etymology,etymologia
etymologicy,(adj),etymological,etymologiczny
fabłar,"(v, 1)",talk nonsense,gadać
fabryka,(f),factory,"fabryka, zakład"
faczej,(f),face,twarz
faczer,"(v, irr.)",do,robić
faczyltać,(f),easiness,łatwość
faczyły,(adj),easy,łatwy
fag,(m),beech,buk
fagot,(m),bassoon,fagot
fajny,(adj),fun,fajny
fałcz,(f),scythe,kosa
fałkuń,(m),falcon,sokół
fałsy,(adj),FALSE,fałszywy
fam,(f),hunger,głód
famila,(f),family,rodzina
famuzy,(adj),hungry,głodny
fantaski,(adj),fantastic,fantastyczny
faraon,(m),pharaoh,faraon
farczała,(f),fork,widelec
farka,(f),pitchfork,widły
farn,(m),oven,piec
farnar,"(v, 1)",bake,"piec, smażyć"
farnarz,(m),baker,piekarz
fart,(n),theft,kradzież
faszczyski,(adj),fascist,faszystowski
fat,(n),destiny,los
fatały,(adj),fatal,fatalny
fawa,(f),bean,fasola
fawurar,"(v, 1)",favour,sprzyjać
"fąd, fędu",(n),depth,"głąb, głębia"
fąg,(m),fungus,pleśń
federaceń,(f),federation,federacja
ferar,"(v, 1)",steal,kraść
fertydzień,(f),theft,"złodziejstwo, kradzież"
ferz,(m),thief,złodziej
ferza,(f),fury,"gniew, wściekłość"
ferzuzy,(adj),furious,wściekły
fet,(m),foetus,płód
fęciły,(adj),futile,błahy
fęć,(m),source,źródło
fędaceń,(f),foundation,fundacja
fędar,"(v, 1)","found, establish",zakładać
fędzier (perf. fądszy),"(v, 7)",pour,"lać, nalewać"
fętały,(adj),source,źródłowy
fętazmat,(m),phantom,upiór
fęteł,(m),"little one, baby",maluch
fiałar,"(v, 1)",suck,ssać
fidycza,(f),confidence,zaufanie
fiebra,(f),fibre,włókno
fiebrarz,(m),February,luty
fiebrz,(f),fiever,gorączka
fieceń,(f),invention,wynalazek
fiecórz,(m),inventor,wynalazca
fiecz,(f),"dung, manure","nawóz, gnój"
fiedzieltać,(f),"faithfulness, fidelity",wierność
fiedzioły,(adj),faithful,wierny
fiedź,(f),faithfulness,wierność
"fiel, -e",(n),gall,żółć
fiełt,(n),felt,filc
fiemna,(f),wife,żona
fiemniny,(adj),feminine,żeński
fieńkieł,(n),fennel,fenkuł
fierzer,"(v, 5)",hit,trafić
fierzmar,"(v, 1)",close,zamykać
fierzmy,(adj),tight,mocny
fierzy,(adj),iron,żelazny
fieściwtać,(f),festivity,uroczystość
fieściwy,(adj),festive,uroczysty
fiewła,(f),"buckle, clasp",klamerka
fiędzier,"(v, 7)",split,przepołowić
fiężer,"(v, 7)",invent,wynajdować
fik,(m),fig,figa
fikat,(m),liver,wątroba
fikceń,(f),fiction,fikcja
fil,(m),boy,chłopiec
fila,(f),girl,dziewczyna
filharmonia,(f),philharmony,filharmonia
filozof,(m),philosopher,filozof
filozofia,(f),philosophy,filozofia
filozoficy,(adj),philosophical,filozoficzny
fił,(n),thread,nić
finalemięć,(adv),at last,"nareszcie, wreszcie, na końcu"
finały,(adj),final,końcowy
financzały,(adj),financial,finansowy
"financze, -ór",(m.pl.),finances,finanse
finier,"(v, 5)",finish,kończyć
finy,(adj),fine,filigranowy
fiń,(m),end,koniec
"fiodu, fiodrze",(n),treaty,"umowa, pakt"
fion,(n),hay,siano
fiorarz,(m),smith,kowal
fiosta,(f),"feast, holiday","święto, impreza"
fiór,(n),iron,żelazo
firma,(f),firm,firma
fiskały,(adj),fiscal,fiskalny
fistła,(f),tube,rura
fisy,(adj),tight,mocny
fizycy,(adj),physical,fizyczny
fizyk,(m),physician,fizyk
fizyka,(f),physics,fizyka
fiżer,"(v, 7)",stick,tkwić
fiżyciwy,(adj),fugitive; volatile,uciekły; ulotny
flaramięć,(adv),wildly,dziko
flary,(adj),wild,dziki
flesibły,(adj),flexible,giętki
flet,(m),flute,flet
flictać,(f),happiness,szczęście
fliczy,(adj),happy,szczęśliwy
flirtar,"(v, 1)",flirt,flirtować
flota,(f),fleet,flota
fluor,(m),fluorine,fluor
flurz,(m),flower,kwiat
flurzer,"(v, 6)",flourish,kwitnąć
fober,(m),craftsman,rzemieślnik
foc,(n),fact,fakt
focigar,"(v, 1)",tire,męczyć
focigaty,(adj),tired,zmęczony
focwalemięć,(adv),in fact,faktycznie
focwały,(adj),factual,faktyczny
fok,(m),fire,ogień
fokarz,(m),cake,ciasto
fol,(m),bag,worek
fole,"(v, 7)",it is necessary,trzeba
folkieł,(m),scrotum,torba (wulg.)
folklora,(f),folklore,folklor
"fołgr, -grze",(n),lightning,"błyskawica, piorun"
fontan,(m),fountain,fontanna
formuła,(f),formula,formuła
fort,(m),fortress,"forteca, twierdza"
fortepian,(m),piano,fortepian
forzy,(prep +2),except,oprócz
forzyna,(f),flour,mąka
fosa,(f),"cleft, gap",szczelina
fosfor,(m),phosphorus,fosfor
foszcz,(m),bundle,wiązka
foszczydz,(n),loathing,"odraza, wstręt"
foszczydzar,"(v, 2)",loathe,"mieć odrazę do, brzydzić się (czymś)"
foto,(n),photo,"zdjęcie, foto"
fotograf,(m),photographer,fotograf
fotografia,(f),photography,fotografia
foworabły,(adj),favourable,przychylny
fowórz,(m),favour,"łaska, przysługa"
fódz,(m),excavation,nora
fól,(n),leaf,liść
fómnar,"(v, 2)",lighten,błyskać się
fragła,(f),strawberry,truskawka
"fragmię, -tu",(n),fragment,fragment
frażyły,(adj),fragile,"kruchy, wątły"
frączeski,(adj),French,francuski
frążer,"(v, 7)",split,"łupać, rozszczepiać"
frekwięci,(adj),frequent,częsty
frekwiętar,"(v, 1)",frequent,"nawiedzać, często odwiedzać"
fręć,(f),front side,przód
frętały,(adj),front,przedni
froca,(f),"power, force",siła
frocar,"(v, 2)",force,zmuszać
froci,(adj),strong,silny
frocieca,(f),fortress,"forteca, twierdza"
frojar,"(v, 2)",forge,kuć
froma,(f),form,"forma, kształt"
fromaceń,(f),formation,szyk
fromar,"(v, 1)",form,formować
fromica,(f),ant,mrówka
fromustać,(f),slenderness,szczupłość
fromuzy,(adj),slender,szczupły
fronacz,(f),kitchen-range,"kuchenka, piec"
front,(m),front,front
froterz,(m),brother,brat
frotrzeńtać,(f),brotherhood,braterstwo
frotyna,(f),fortune,majątek
frudar,"(v, 1)","cheat, swindle",oszukiwać
frudlęci,(adj),"fraudulent, delusive","oszukańczy, zwodniczy"
frudź,(f),"fraud, swindle",oszukaństwo
fryc,(m),fruit,owoc
"frymię, -tu",(m),"corn, grain",pszenica
fryszczar,"(v, 2)",smash,"rozbić, potłukać"
fucier,"(v, 7)",fuck,pierdolić
fucz,(f),throat,gardło
fugar,"(v, 1)","expel, chase away",wyganiać
funkceń,(f),function,funkcja
funkconały,(adj),functional,funkcjonalny
funkconar,"(v, 1)",function,funkcjonować
fur,(n),market,"rynek, bazar"
futerał,(n),"case, cover",futerał
fuzgar,"(v, 1)","cudgel, beat with a stick",pobijać pałką
fym,(m),smoke,dym
fymar,"(v, 1)",smoke,palić
fymiar  (dial.),"(v, 1)",smoke,palić
fyń,(f),rope,"lina, powróz"
fyść,(m),stick,kij
fyz,(m),spindle,wrzeciono
fyżer,"(v, 5)","escape, flee",uciekać
galiczany,(adj),Galician,galicyjski
garaż,(m),garage,garaż; warsztat
gardzin,(m),garden,ogród
gargarzar,"(v, 2)",gargle,płukać gardło
gaz,(n),gas,gaz
gazeta,(f),newspaper,gazeta
gąba,(f),leg,noga
gąbiekła,(f),skirt,spodnica
generał,(m),general (mil.),generał
geniały,(adj),genial,genialny
geniusz,(m),genius,geniusz
geograf,(m),geographer,geograf
geografia,(f),geography,geografia
geograficy,(adj),geographical,geograficzny
geolog,(m),geologist,geolog
geologia,(f),geology,geologia
geologicy,(adj),geological,geologiczny
germanicy,(adj),Germanic,germański
gips,(n),plaster,gips
gitara,(f),guitar,gitara
głacz,(f),ice,lód
głacze,(f.pl.),ice cream,lody
głodzoł,(m),dagger,sztylet
głurza,(f),glory,chwała
głurzuzy,(adj),glorious,"sławny, chlubny"
głuzy,(adj),gluttonous,żarłoczny
goł,(m),"cock, rooster",kogut
gorąc,(n),heat,gorąco
gorący,(adj),hot,gorący
graca,(f),grace,"gracja, wdzięk"
gracuzy,(adj),gracious,powabny
graczyły,(adj),meager,chudy
grad,(m),step,krok
gradzier,"(v, 7)","tread, step",stąpać
graficy,(adj),graphical,graficzny
gramatyka,(f),grammar,gramatyka
gran,(n),grain,ziarno
gratis,(adv),for free,gratis
gratłar,"(v, 1)",thank,dziękować
gratłęć,(prep +3),thanks to,dzięki
grawtać,(f),gravity,"ciężkość, przyciąganie ziemskie"
grawy,(adj),heavy,ciężki
grądtać,(f),greatness,wielkość
grędzi,(adj),"great, big","duży, wielki"
grędzi ducz,(m),grandduke,wielki książę
grędzi dukat,(m),grandduchy,wielke księstwo
grosy,(adj),thick,gruby
grosz,(m),grosz,grosz
grota,(f),cave,grota
grum,(m),grunt,chrząkanie
grumier,"(v, 5)",grunt,warczeć
grupa,(f),group,grupa
grzecy,(adj),Greek,grecki
grzecz,(m),"herd, flock",stado
grzyb,(m),mushroom,grzyb
grzysi,(adj),grey,szary
gudza,(f),joy,radość
gudzar,"(v, 2)","rejoice, delight",cieszyć
gudzustać,(f),merriment,wesołość
gudzuzy,(adj),merry,wesoły
gust,(m),taste,smak
gustar,"(v, 1)",taste,"próbować, smakować"
gustuzy,(adj),"tasty, good","pyszny, smaczny"
guta,(f),drop,kropla
gwardar,"(v, 1)","watch, look; guard, watch over, look after","patrzeć; czuwać, pilnować"
gwardar: gwardar sie,"(v, 1)",watch out,uważać
gwardza,(f),guard,straż
"gwarnamię, -tu",(n),government,rząd
gwarnamiętały,(adj),governmental,rządowy
gwarnar,"(v, 1)",reign,rządzić
gwarnatórz,(m),governor,"gubernator, wojewoda"
gwarnik,(m),guard,strażnik
gwiara,(f),war,wojna
halo,(intj),hello,halo
halożen,(n),halogen,halogen
handel,(m),trade,handel
handlarz,(m),"salesman, tradesman",handlarz
harem,(n),harem,harem
harfa,(f),harp,harfa
harmonia,(f),harmony,harmonia
harmonicy,(adj),"harmonious, harmonic",harmoniczny
hel,(n),helium,hel
hełm,(m),helmet,hełm
herbata,(f),tea,herbata
herój,(m),hero,bohater
herójki,(adj),heroic,bohaterski
historia,(f),history,"historia, przeszłość"
historycy,(adj),historical,historyczny
historzyca,(f),story,"historyjka, opowiadanko"
homofonia,(f),homophony,homofonia
homoseksualista,(m),homosexual,homoseksualista
homoseksualtać,(f),homosexuality,homoseksualność
homoseksuały,(adj),homosexual,homoseksualny
hormon,(m),hormon,hormon
horoskop,(m),horoscope,horoskop
horyzont,(m),horizon,horyzont
horyzontały,(adj),horizontal,poziomowy
hotel,(m),hotel,hotel
hurra,(intj),hurray!,hurra!
hydrożeń,(n),hydrogen,wodór
i,(conj),and,i
i: i szyk,(adv),"anyway, in any case",i tak
i.s.ł. (i szyk łoniu),(adv),etcetera,i tak dalej
ideał,(n),ideal,ideał
ideały,(adj),ideal,idealny
ideja,(f),idea,idea
identycy,(adj),identical,identyczny
idiota,(m),idiot,idiota
ignorar,"(v, 1)",ignore,ignorować
ileż,(adv),also,"też, także, również"
"ił (łu, li, łu)",(pron.pers.),he,on
"ił, iła",(pron.dem.),"this, that","ten, ta, to"
iłak,(adv),along this way,tędy
iłu pły,(adv),even more,tym bardziej
iłymnar,"(v, 2)",enlighten,oświetlać
iłyżeń,(f),illusion,złudzenie
imażeń,(f),image,obraz
imażnaceń,(f),imagination,"wyobraźnia, wyobrażenie"
imażnar,"(v, 1)",imagine,wyobrażać
imażnarzy,(adj),imaginary,wyobrażony
imiedzaty,(adj),immediate,natychmiastowy
imięzy,(adj),"enormous, immense","ogromny, niezmierny"
imitaceń,(f),imitation,imitacja
imitar,"(v, 1)",imitate,imitować
imperium,(n),imperium,imperium
implar,"(v, 2)",fill,napełniać
impotęca,(f),impotence,impotencja
inaugurały,(adj),inaugural,inauguralny
industria,(f),industry,przemysł
industriały,(adj),industrial,przemysłowy
indywiduały,(adj),individual,indywidualny
informaceń,(f),information,informacja
informar,"(v, 1)",inform,informować
inicjaciwa,(f),initiative,inicjatywa
inicjalemięć,(adv),initially,początkowo
inicjały,(adj),initial,początkowy
inicjar,"(v, 2)",initiate,"rozpoczynać, inicjować"
inoczęca,(f),innocence,niewinność
inoczęci,(adj),innocent,niewinny
inspiraceń,(f),inspiration,"natchnienie, inspiracja"
inspirar,"(v, 1)",inspire,inspirować
instruceń,(f),instruction,instrukcja
instruktórz,(m),instructor,instruktor
"instrumię, -tu",(n),instrument,instrument
instytuceń,(f),institution,instytucja
intelekt,(n),intellect,intelekt
intelektualista,(m),intellectual,intelektualista
intelektuały,(adj),intellectual,intelektualny
inteliżęca,(f),intelligence,inteligencja
inteliżęci,(adj),intelligent,inteligentny
interes,(m),"cause, interest",interes
interesar,"(v, 1)",interest,interesować
interesęci,(adj),interesting,interesujący
introdyceń,(f),introduction,wprowadzenie
introdyczer,"(v, 7)",introduce,wprowadzać
inwazar,"(v, 1)",invade,najechać
inwazórz,(m),invader,najeźdźca
inważeń,(f),invasion,"najazd, inwazja"
irlańki,(adj),Irish,irlandzki
ironia,(f),irony,ironia
irytaceń,(f),irritation,irytacja
irytar,"(v, 1)",irritate,"irytować, drażnić"
"iwiał, iwiała",(pron.dem.),yonder,tamten
iwiałak,(adv),along that way,tamtędy
iwrzan,(n),winter,zima
izła,(f),island,wyspa
jadra,(f),ivy,bluszcz
jagier,(m),agricultural ground,"pole, rola"
jagierzkła,(f),peasant,chłop
jagierzkultura,(f),agriculture,rolnictwo
jak,(conj),and also,oraz
jakry,(adj),sour,kwaśny
jał,(n),frost,mróz
jałar,"(v, 1)",freeze,zamrażać
jałbatek,(n),underwear,bielizna
jałborusiny,(adj),Belarusian,białoruski
jałby,(adj),white,biały
jałczej,(m),moose,łoś
jałtry,(adj),other,inny
jałty,(adj),high,wysoki
jałtydzień,(f),height,wysokość
janać,(f),duck,kaczka
janielica,(f),angel (fem.),anielica
janielki,(adj),"angel-like, angel's",anielski
janiół,(m),angel,aniół
"janu, jeńrze",(n),"sex, gender",płeć
januar,(n),uranium,uran
jań,(m),lamb,baranek
jarar,"(v, 1)",err,błądzić
"jarberz, -brze",(f),tree,drzewo
jarciski,(adj),artistic,artystyczny
jarcista,(m),artist,artysta
jarć,(f),art,sztuka
jardza,(f),heron,czapla
jardziar,"(v, 4)",burn,"palić, płonąć"
jardzięci,(adj),"burning, ardent, fiery, passionate","żarliwy, płomienny"
jarecznik,(m),archer,łucznik
jarek,(m),"arc, bow",łuk
jarma,(f),weapon,broń
jarmar,"(v, 1)",arm,obronić
jarmatera,(f),"armour, armament",zbroja
jarórz,(m),mistake,błąd
jarz,(m),"air, sky",powietrze
"jarżę, -tu",(n),silver,srebro
jarżęci,(adj),silver,srebrny
jarżyła,(f),"loam, clay","glina, piasek gliniasty"
jasta,(f),spear,włócznia
jatać,(f),"age, era, timeframe",epoka
"jatramię, -tu",(n),ink,atrament
jazen,(m),"ass, donkey",osioł
jączesórz,(m),ancestor,przodek
jądeł,(m),ring,pierścionek
jądzież,(adv),precisely there,tamże
jądź,(adv),there,tam
jągusty,(adj),narrow,wąski
jąguszcza,(f),"strait, narrow passage",cieśnina
jąwarz,(m),January,styczeń
jązierz,(m),goose,gęś
jążer,"(v, 7)","join, connect","łączyć, połączyć"
jebiar,"(v, 2)",fuck,jebać
jec,(adv),here,"tu, tutaj"
jec: jec i jądź,,here and there,tu i ówdzie
jecar,"(v, 3)",throw,rzucać
jedar,"(v, irr.)","give out, spend, deliver",wydawać
jedyczer,"(v, 7)",lead out,wyprowadzać
jedykaceń,(f),education,edukacja
jedykar,"(v, 1)","raise, educate",wychowywać
jedz,(n),yoke,jarzmo
jedziceń,(f),edition,wydanie
jedziewkaceń,(f),"building, housing",budownictwo
jedziewkar,"(v, 1)",build,budować
jedźwiecz,(n),building,budynek
jefiec,(m),effect,efekt
jegieł,(m),neck,"kark, szyja"
jegradar,"(v, 1)",walk away,odchodzić
jegradzier,"(v, 7)","appear, perform",występować
jegradzik,(m),offense,występek
jejuny,(adj),sober,trzeźwy
jejuńtać,(f),soberness,trzeźwość
jek,(m),joke,żart
jekar,"(v, 1)",joke; play,żartować; grać
jekar: jekar sie,,play,bawić się
jekieł,(m),game,gra
jekła,(f),eagle,orzeł
jekuna,(f),woman,kobieta
jekuniarz,(m),womaniser,kobieciarz
jekuniny,(adj),female,kobiecy
jekunińtać,(f),femininity,kobiecość
jekuzy,(adj),funny,zabawny
jekwa,(f),water,woda
jekwalzar,"(v, 1)",equalize,wyrównywać
jekwały,(adj),equal,równy
jekwiała,(f),vodka,wódka
jekwilibra,(f),balance,równowaga
jel,(n),garlic,czosnek
jeleceń,(f),election,wybór
jeleżer,"(v, 7)",choose,wybierać
jelkądź,(adv),somewhere,gdzieś
jelkędy,(adv),"once, ever",kiedyś
jelki,(pron.ind.),someone,ktoś
jelkomód,(adv),somehow,jakkolwiek
jelkód,(pron.ind.),something,coś
jelkwałak,(adv),along some way,"którędyś, jakąś drogą"
jelkwały,(pron),some,jakiś
jelkwiny,(pron.int.),someone's,czyjś
"jelmię, -tu",(n),food,żywność
jelwietki,(f),Helvetian,helwecki
jełasar,"(v, 1)",let out,wypuszczać
jem,(f),storm,wichura
jemabły,(adj),loveable,"miły, godny miłości"
jemar,"(v, 1)",love,kochać
jemaszczer,"(v, 8)","start to love, fall in love",pokochać
jematórz,(m),lover,kochanek
jematrzyca,(f),lover (f.),kochanka
jemęć,(m),lover,kochanek
jemiecier,"(v, irr.)",emit,"wysyłać, emitować"
jenąć,(adv),long ago,dawno
jenia,(f),soul,dusza
jeniepr,(m),juniper,jałowiec
jenigma,(f),enigma,zagadka
"jep, -ie",(n),celery,seler
jeprotar,"(v, 1)","carry away, carry out",wynosić
jer,"(v, irr.)",go,iść
jer: jer o kotry koście,,"go away, beat it, get the hell out of here","spadać, zjeżdżać"
jer: jer o narcie,,ski,jeździć na nartach
jerablar,"(v, 2)",infuriate,"doprowadzać do szału, rozjuszyć"
jeradzar,"(v, 2)",radiate with,promieniować
jeroszczer,"(v, 8)","irritate, make angry","rozzłościć, drażnić"
jerur,(v. irr.),drive away,wyjechać
jerza,(f),threshing-floor,klepisko
jerzar,"(v, 4)",stick,kleić
jerzmita,(m),hermit,pustelnik
jesaler,"(v, 6)",jump out,wyskakiwać
jesęgniar sie,"(v, 2)",bleed to death,wykrwawić się
jesięcier (perf. jesiąszy),"(v, 5)",sense,wyczuwać
jesoniaty,(adj),ideal,wymarzony
jeszczepceń,(f),exception,wyjątek
jeszczepconały,(adj),exceptional,wyjątkowy
jeszerzer,"(v, 7)",switch off,wyłączać
jeśpierzer,"(v, 5)",experience,doświadczyć
jeśpierzęca,(f),experience,doświadczenie
jetrar,"(v, irr.)",pull out,wyciągać
jewanieszczer,"(v, 8)",evanesce,"zanikać, ulatniać się"
jewanieszczęca,(f),evanescence,zaniknięcie
jewidzięci,(adj),evident,oczywisty
jewieńtać,(f),youth (youngness),młodość
jewieścier,"(v, 5)","take off, remove",zdejmować
"jewię, -tu",(m),event,wydarzenie
jewiętyć,(f),youth,młodzież
jewitar,"(v, 1)",avoid,unikać
jewni,(adj),young,młody
jewrzan,(m),hell,piekło
Jewrzej,(m),Jew,Żyd
jewrzejki,(adj),Jewish,żydowski
jewtar,"(v, 1)","live, inhabit",mieszkać
jęblęca,(f),surroundings,otoczenie
jębłaceń,(f),walk,spacer
jębłar,"(v, 1)",walk,spacerować
"jębu, jębie",(num),both,"obu, obie"
jębudwu,(num),both,obydwu
jęć,(adv),"in total, altogether",ogółem
jędkar,"(v, 1)",point,wskazywać
jędr,(m),son-in-law,zięć
jęgieł,(m),corner,"róg, kąt"
jęgiertać,(f),whole,całość
jęgry,(adj),"entire, whole",cały
jękieł,(n),knee,kolano
jękóra,(adv),still,jeszcze
jękóra: jękóra wiecz,,once more,jeszcze raz
jępiarar,"(v, 1)","order, charge",rozkazywać
jępiltydzień,(f),"breadth, width",szerokość
jępli,(adj),"broad, wide",szeroki
jępraciwy,(adj),imperative,rozkazujący (tryb)
jęsiem,(adv),together,razem
jętar,(prep +1),between,między
jętarmiedzar,"(v, 2)",mediate,pośredniczyć
jętarnoconały,(adj),international,międzynarodowy
jętarprzędza,(f),enterprise,"przedsiębiorstwo, przedsięwzięcie"
jętarprzędzier,"(v, 7)",undertake,podejmować
jętarprzędzięć,(m),undertaker,przedsiębiorca
jętarrąpier,"(v, 7)",interrupt,przerywać
jętrata,(f),entrance,wejście
jętrzerzy,(adj),former,"dawny, były"
jętrzortać,(f),past,przeszłość
jęwnier,"(v, irr.)",find,znajdować
jęwrzuzy,(adj),reverse,odwrotny
jęzłutar,"(v, 1)",insult,obrażać
"jężeń, -nie",(n),engine,silnik
"jo (miej, mi, mie)",(pron.pers.),I,ja
joczęt,(m),hyacinth,hiacynt
jogurt,(m),yoghurt,jogurt
joseł,(m),exile,wygnaniec
jotrzan,(adv),eternally,wiecznie
jotrzany,(adj),eternal,wieczny
jotrzeniewkar,"(v, 1)",make eternal,uwiecznić
jotrzeńtać,(f),eternity,wieczność
jódz,(n),iodine,jod
jódzej,(m),Thursday,czwartek
"Jów, -ie",(m),Jove,Jowisz
judkaceń,(f),jurisdiction,jurysdykcja
judkar,"(v, 1)",judge,osądzać
judziecz,(m),judge,sędzia
jukędy,(adj),pleasant,przyjemny
jul,(m),July,lipiec
juń,(m),June,czerwiec
ka,(conj),than (with comparatives),niż
kabina,(f),cabin,kabina
kabina: kabina telefonica,(f),telephone booth,budka telefoniczna
kadlesyn,(m),son-of-a-bitch,sukinsyn
kadła,(f),bitch,suka
kadzier,"(v, 7)",fall,padać
kakar,"(v, 1)",shit,srać
kaktus,(m),cactus,kaktus
kalafior,(m),cauliflower,kalafior
kalc,(n),calcium,wapń
kaldarza,(f),"kettle, cauldron",kociół
kaldy,(adj),warm,ciepły
kaleszczer,"(v, 8)",warm,"rozgrzewać, ogrzewać"
kalk,(m),lime,wapno
kalkułar,"(v, 1)",count,"liczyć, obliczyć"
kałcz,(f),heel,"pięta, obcas"
kałcz,(m),shoe,but
kałmar,"(v, 1)",calm down,uspokajać
kałórz,(m),warmth,ciepło
kałwy,(adj),bald,łysy
kambrzycy,(adj),"Cymbrian, Kemrese",kambryjski
kamera,(f),camera,kamera
kamion,(m),truck,"tir, ciężarówka"
kanalia,(f),rabble,"melina, kanalia"
kanalizaceń,(f),sewers,kanalizacja
kanał,(m),canal,kanał
kandydar,"(v, 1)",candidate,kandydować
kandydat,(m),candidate,kandydat
kaniesęgień!,(intj),Dog blood! (curse),psiakrew!
kany,(adj),grey (hair),siwy
kań,(f),dog,pies
"kap, kapcie",(n),head,głowa
kapital,(m),capital,kapitał
"kapiteł, -tłu",(n),chapter,"rozdział, nagłówek"
kaptań,(m),captain,kapitan
karbuń,(m),carbon,węgiel
kardiolog,(m),cardiologist,kardiolog
"kareń, karnie",(f),meat,mięso
"karmię, -mnie",(n),song,pieśń
karnały,(adj),"meat, pertaining to -",mięsny
karnawał,(m),Carnival,Karnawał
karpa,(m),carp,karp
karpier,"(v, 7)",seize,chwytać
karta,(f),card,karta
kartać,(f),expensiveness,kosztowność
karty,(adj),short,krótki
"karwamię, -mnie",(n),curve,skrzywienie
karwar,"(v, 1)","bow, bend",krzywić
karwaty,(adj),"curved, bended",skrzywiony
karwy,(adj),curved,krzywy
kary,(adj),"sweet, beloved; expensive",drogi; miły
kasa,(f),cash register,kasa
kasar,"(v, 1)","cancel, annul",kasować
kaseta,(f),cassette,kaseta
kastylany,(adj),Castilian,kastylijski
katastrofa,(f),disaster,katastrofa
katedra,(f),chair (professor); cathedral,katedra
katolicy,(adj),Catholic,katolicki
katolicyzm,(m),Catholicism,katolicyzm
kawa,(f),coffee,kawa
kawał,(m),horse,koń
kawała,(f),mare,klacz
kawałarz,(m),horseman,jedźca
kawla,(f),cage,klatka
kaz,(m),case,przypadek
kaza,(f),hut,chata
każ,(m),cheese,ser
kączołarz,(m),chancellor,kanclerz
kąka,(f),mussel,"małż, omułek"
kąkier,(m),crab,krab
kąp,(m),field,pole
kąpan,(m),"comrade, buddy","kumpel, towarzysz"
kąpiestrzy,(adj),rural,wiejski
kąt,(adv),how much,ile
kątar,"(v, 1)",count,liczyć
kątkąk,(adv),no matter how much,wszystko jedno ile
kąttać,(f),quantity,ilość
kczyna,(f),kitchen,kuchnia
kczynarz,(m),cook,kucharz
kelner,(m),waiter,kelner
kęblar,"(v, 2)",change,zmieniać
kębra,(f),room,pokój
kęceń,(f),song,pieśń
kęciekieł,(n),song,piosenka
kędy,(adv),when,kiedy
kędykąk,(adv),whenever,kiedykolwiek
kędzier,"(v, 5)","season, spice",przyprawiać
"kędzimię, -tu",(n),spice,przyprawa
kęt,(m),song,pieśń
kętar,"(v, 1)",sing,śpiewać
kętra,(prep +1),against,przeciw
kętrapunier (pp. kętrapusty),"(v, 7)","oppose, set against",przeciwstawiać
kętrarzy,(adj),"contrary, opposite",przeciwny
kętrocar,"(v, 1)",counteract,przeciwdziałać
"ki (kiju, kiej)",(pron.int.),who,kto
kibel,(m),toilet,kibel
kibicar,"(v, 2)",support (sport),kibicować
kiebkieł,(n),bedroom,sypialnia
kiebtar,"(v, 1)",lie,leżeć
"kiełmię, -mnie",(n),top,szczyt
kiełpa,(f),guilt,wina
kiełt,(m),knife,nóż
kiera,(f),care,opieka
kierar,"(v, 1)",cure,leczyć
kikąk,(pron.ind.),whoever,ktokolwiek
kilicar,"(v, 2)",fuck,pierdolić
kił,(m),ass,dupa
kiłarz,(m),"prat, dipshit",dupek
kipr,(n),cupper,miedź
kistudzier,"(v, 5)",guard,"pilnować, chronić"
kistudź,(m),guard,"ochroniarz, stróż"
kiszka,(prep +1),as far as,aż do
klarnet,(m),clarinet,klarnet
klasa,(f),class,klasa
klawisz,(m),key (on a keyboard),klawisz
klijęcioła,(f),customers,klientela
